"label","NDAI","SD","CORR","DF","CF","BF","AF","AN"
1,0.61388451,1.9632986,0.095079787,235.74358,206.96257,198.0665,186.65381,183.02217
1,-0.68919009,1.1102443,0.14289349,279.91086,271.42178,256.02344,229.9445,214.0934
0,-0.9636749,0.81622916,0.17029318,306.25952,289.39938,270.00815,239.84241,217.15428
0,-0.76604754,0.53619272,0.16693811,299.18408,283.923,265.96228,236.43715,213.56119
1,2.4818299,5.1998544,0.15577409,278.99814,251.66451,220.82687,207.01797,191.74243
1,-0.94327629,2.1723862,0.13786151,288.02908,276.49838,259.20474,231.72661,214.92184
1,2.1075363,47.087765,0.45796776,301.88614,244.86842,218.356,144.74304,123.83461
1,1.5061058,2.7006724,0.26543492,344.87823,292.48917,249.29961,218.66185,203.02991
1,1.3196127,5.1564527,0.20744933,241.10915,229.99026,200.61203,178.46094,171.92496
1,2.8870089,8.8867741,0.11699917,228.72353,220.1646,178.48262,148.59865,183.46046
1,0.44928861,0.92367035,0.092911527,222.94614,206.79881,200.84804,189.76286,184.53214
0,-0.92788804,0.8572104,0.16113411,297.87881,281.90491,264.28854,236.06868,214.83997
0,-0.88386017,0.6508854,0.17827953,311.13382,292.2941,271.57834,240.68048,216.67987
0,-0.74117827,0.81923354,0.15898062,302.29315,286.68527,267.68176,239.68828,219.21815
1,1.0245743,4.8405991,0.26030436,348.17993,294.37723,240.37222,207.28287,198.89975
1,0.54373145,0.85464716,0.09335082,222.28145,208.24617,200.16168,188.8694,183.05588
1,0.047733434,1.2320005,0.092117995,219.524,206.48575,201.88116,187.98076,182.61517
0,-0.81374085,3.6610506,0.1630512,293.21405,272.60425,258.24384,232.20825,211.7574
0,-0.11574186,0.90143842,0.15410638,299.31415,282.00604,264.76538,237.71834,219.18686
1,1.6456844,9.3169136,0.18492275,274.54529,255.82115,246.29893,226.45976,200.04128
1,0.83570683,6.0265174,0.2761406,344.00162,291.41266,242.52039,205.84274,194.88039
1,-0.59714848,0.79009849,0.11301364,260.54855,256.69775,246.04607,223.03043,210.11497
1,2.2292984,10.702505,0.2360398,295.08765,234.08429,209.6261,184.40691,174.66072
0,-0.44549263,1.9970939,0.17274643,298.22803,285.37277,268.38739,237.20056,210.7941
1,1.2825319,8.7236052,0.15645137,218.07423,195.43669,194.92374,178.91611,169.16751
1,1.1987057,3.094831,0.18079446,236.38657,199.24655,182.76448,167.49858,157.26834
1,1.3127534,4.7310677,0.26736245,315.24954,286.6347,238.0555,210.92415,197.7751
0,-1.0197458,1.0817358,0.17410542,307.29507,291.93045,271.69632,240.57211,216.67746
1,0.72590542,3.9919457,0.18162449,261.27585,231.66159,213.17105,195.48486,185.21126
1,0.55360335,0.70797271,0.099680886,229.16664,209.61165,201.2478,190.63464,184.43581
1,1.42242,8.2371044,0.15106833,244.44217,206.67117,188.88144,175.15923,164.08369
0,-0.82681513,0.54405105,0.15071931,291.40063,276.52005,261.31436,235.53165,215.08319
