"NDAI4","SD4","CORR4","DF4","CF4","BF4","AF4","AN4"
-0.87229204,0.44879428,0.12064201,289.96051,280.22394,263.64795,240.75995,226.77765
-1.0469221,1.7328006,0.10624481,295.64157,286.64194,263.78522,240.32648,228.32857
-0.57907706,0.8521471,0.11311375,282.62015,269.8757,259.1373,241.5041,225.63133
1.094135,0.97754979,0.16233034,277.74585,257.52136,233.17155,208.18597,195.73291
-0.97981501,1.5054013,0.14356585,301.74646,280.11316,262.82675,241.37405,226.80415
0.55263615,0.67082036,0.17142428,283.84595,260.10062,236.08313,211.16257,196.38072
1.0725967,0.84585673,0.11074064,239.42096,226.95828,215.64914,204.56155,195.17902
0.64897662,1.2994422,0.087883562,275.13531,266.74496,256.77963,243.46201,229.95895
-0.92860234,1.549394,0.10525792,281.50995,272.19724,259.04822,238.4673,226.821
-0.8769812,0.88020402,0.13351248,295.0708,277.27142,260.88568,241.15732,225.70599
-1.1601694,3.8390546,0.13903342,292.66016,287.53299,263.79727,239.87372,225.67949
1.0000767,0.45982999,0.14949337,261.35532,246.05087,227.228,210.45213,197.25011
-1.3276759,0.54323488,0.10484883,280.04575,273.90228,261.69006,240.61305,229.22444
-1.1988795,0.49777579,0.13138802,289.32471,278.84402,260.05243,236.70686,221.77573
-1.0774711,0.75688338,0.12984557,288.35178,278.71637,261.6106,236.70927,221.74683
-0.8367579,2.4101002,0.16594291,311.20126,296.3833,274.07327,244.69263,223.07617
-1.0063061,0.39695787,0.123546,294.09546,286.08322,268.49576,243.31511,229.47249
-0.28900424,1.6211392,0.13093197,293.24054,278.00113,264.21631,241.21271,226.15633
-1.1861143,0.6450839,0.13968495,293.8739,282.01328,261.88272,237.71111,222.27423
-0.9966495,0.816185,0.12243114,290.96713,282.10239,265.94061,240.69975,227.00403
-0.79752165,0.80097526,0.12967782,289.73651,280.28897,262.34509,238.36374,223.56746
-0.7924335,0.88196963,0.13130336,287.30179,276.64529,261.01575,237.44139,222.21884
0.42842013,9.4749823,0.14955562,295.3381,306.29565,283.06085,252.89754,227.32433
1.1592727,1.5748558,0.18303972,280.04816,264.03571,239.05009,216.12837,198.66135
-0.9901455,1.016094,0.13349889,300.19315,280.23358,262.72321,238.45767,222.78719
-0.73074806,0.71049255,0.13234605,297.79694,283.88208,265.62512,240.66844,225.17618
-0.59949619,2.0228972,0.14226174,298.44235,278.92349,260.30289,238.3228,223.30255
-0.53254747,2.7477312,0.12169172,294.05212,279.67728,268.74622,247.50787,229.86745
-1.0426183,1.2360851,0.14574373,301.07697,289.50293,268.77753,241.43909,222.67159
-0.80643034,1.1397077,0.11172298,288.45294,279.60983,268.65952,247.58493,230.54898
-0.91605771,0.5019871,0.10101073,293.24054,278.7236,267.21216,240.8033,228.87766
-0.3776049,0.7173956,0.12930024,289.23804,280.18542,260.08133,237.78336,223.38684
0.82460278,0.729168,0.14569439,252.25212,238.56122,223.82033,208.44365,195.38371
-0.63311285,7.8812499,0.1639484,329.42209,322.81866,288.66968,252.93607,230.22145
-0.66133058,0.66964334,0.13501872,291.37173,281.28598,261.79361,238.03381,223.21104
2.0598059,8.7404537,0.072379678,277.729,269.5,259.17584,253.15521,233.09691
-0.91718769,0.56803524,0.12538017,287.11877,281.46179,266.28741,240.02303,225.46516
-1.0137911,1.5246509,0.13666897,301.98248,282.37933,262.38843,244.11465,227.89508
1.1204892,1.037141,0.17221461,280.00961,263.58536,238.15904,215.6684,199.56203
1.2500622,0.81855744,0.15049481,262.53293,244.84917,226.87399,206.25696,194.29277
-0.76888585,1.7274113,0.15152706,298.84933,288.33493,269.23993,241.57635,222.32721
1.3532382,2.0515878,0.17938496,314.93887,295.43445,272.30563,245.037,221.59991
-1.2844125,0.77203691,0.12171562,292.8793,282.73093,265.38913,242.66969,229.48453
-1.2152008,0.54314661,0.12120232,289.18985,279.00778,263.35657,240.90927,227.84451
-0.98439741,2.9692583,0.10574546,292.7926,280.29861,260.2114,238.3228,225.42422
