"label","NDAI","SD","CORR","DF","CF","BF","AF","AN"
1,1.4199982,6.2757711,0.16204064,274.46582,250.91795,221.85519,204.34721,195.66548
1,1.2254366,1.2081296,0.093718253,226.2093,211.99341,201.52475,191.59795,185.85667
1,0.38555762,1.2932481,0.091364942,218.30785,208.67725,198.30733,190.24933,184.22388
1,-0.84994322,0.57007688,0.17917894,290.83469,274.51157,253.05408,219.64684,201.3947
1,0.86095405,0.64480323,0.078404561,216.87253,209.19984,199.7619,190.69485,185.0451
1,2.0029242,19.035463,0.11615767,268.46204,225.93718,232.27328,221.72514,210.14388
1,-0.46742648,5.5466843,0.15193981,289.9292,264.24039,246.09904,220.48489,204.74458
1,0.38213527,0.70911926,0.082473032,217.52275,206.71211,197.20435,189.74359,184.56827
0,-0.51936018,1.674026,0.092890203,259.08432,254.63147,241.17418,227.20872,214.33664
1,-0.6702013,2.7429895,0.1691765,277.19919,271.46033,248.11716,222.90759,206.64227
0,-0.52631605,1.3667032,0.1602542,292.94193,277.35571,254.959,229.77834,212.00786
1,-0.033195686,3.804054,0.20427512,293.14178,273.76984,247.32484,217.23135,197.74861
1,3.103529,18.508467,0.2554476,216.05132,192.05069,162.91568,140.98135,137.53514
1,0.95468301,1.1306769,0.13214666,253.10706,218.82561,205.18529,190.62741,182.26839
0,-0.83587325,2.353698,0.16266391,296.38812,276.65732,255.32024,229.67236,214.13194
0,-0.82574624,1.3809172,0.14145719,286.72141,274.4032,251.66933,230.35391,215.62505
1,-0.71102482,2.1683786,0.17989397,282.79837,277.40387,252.35568,219.27596,201.5103
1,3.0339255,24.860739,0.23809113,106.32664,81.480721,68.977089,64.117241,63.214149
1,1.8542725,6.3899679,0.15224254,216.11392,199.59573,180.60428,166.25835,155.75838
1,1.1006147,2.9669971,0.10113828,218.12,206.75305,196.20734,182.77652,179.14008
1,0.47198921,0.63555449,0.096987404,220.20312,213.76588,197.6282,185.48581,180.2888
1,0.87795424,0.86524409,0.097539857,221.55417,211.38412,201.70537,190.99106,184.73444
1,3.2138708,28.281193,0.18434958,73.735794,55.074265,47.288391,58.361523,75.260216
1,0.15455291,2.3535588,0.09642031,216.33789,208.6604,194.41319,180.9005,176.78961
1,-0.30618036,3.8515916,0.14554332,277.42075,263.61185,245.16705,219.51678,203.64883
1,0.86491418,0.49353522,0.087318398,221.33501,208.12817,198.16765,189.64726,184.33224
0,-0.61353081,1.8324656,0.084680527,253.42735,246.3206,235.43532,222.03822,212.57379
1,1.8039083,8.5690947,0.113698,283.00305,274.78851,255.46713,237.87727,224.96184
1,0.97793514,1.3384666,0.092495419,220.24648,210.37025,199.95938,188.0843,181.92641
1,2.1446519,4.2338214,0.13469811,247.34412,249.19365,231.45929,208.14984,188.76103
1,0.18968318,1.7954125,0.11892613,224.65358,220.07791,202.83725,183.28467,178.38869
