"NDAI4","SD4","CORR4","DF4","CF4","BF4","AF4","AN4"
1.6468309,3.1849034,0.10735441,276.40445,247.19962,240.95262,231.28831,223.86607
1.8893632,2.5926521,0.079279922,273.54346,267.41928,267.61435,258.0199,236.40584
-0.097869001,2.3847804,0.13497554,284.33002,265.53842,254.73984,235.73634,215.4637
1.312459,3.6927543,0.16372234,232.70918,215.90681,207.43941,185.64233,162.32567
-0.24346183,5.7434831,0.16701341,300.96378,270.36938,247.44525,223.01598,203.91132
2.4066515,6.5448966,0.072588459,259.39017,221.49878,227.35805,217.52516,209.69594
1.3422461,5.5512867,0.30985144,311.08566,242.33014,195.3813,165.30949,158.15939
-0.017456546,4.3919401,0.17297418,305.9585,282.86337,266.04657,237.88451,212.91818
0.90213841,3.4817357,0.16147961,290.87805,269.9624,259.28421,235.10298,210.9097
0.6715585,2.0118771,0.12892716,287.63654,272.82098,251.6019,236.18187,221.80461
1.0052198,6.3457808,0.25186372,240.39149,196.72992,172.40419,158.10641,146.59738
-0.12562075,1.7370651,0.1301927,284.0097,270.22729,258.00784,237.70389,217.188
0.6843099,1.3367462,0.1363897,282.64905,263.4866,251.59949,232.40332,215.11691
-0.13606735,1.8871362,0.15439124,281.64722,265.46619,251.37793,229.28705,210.40396
-0.35719544,1.2656864,0.12276028,282.04941,269.5289,257.80313,237.74242,220.8028
1.0268649,2.3814921,0.18016234,313.69138,280.32269,261.50943,234.70802,216.52814
1.4519931,1.8712466,0.14138477,289.0574,256.63995,241.36684,228.29726,217.95624
1.1967983,3.7655008,0.15549877,182.02756,139.24982,128.37175,123.72624,115.64175
0.1113942,6.0925035,0.11118418,287.2464,275.2485,262.74005,242.78529,226.05518
3.0504789,17.402214,0.19158942,291.51865,275.70367,234.9368,204.86981,191.23671
0.83816117,5.1644263,0.22995786,307.56,277.69046,245.09962,214.13435,194.45894
2.9219997,27.880974,0.33036631,339.20679,257.33112,236.30951,193.16571,166.73517
1.2023966,5.6890163,0.23149174,314.03577,272.62833,222.29108,203.119,198.01111
-0.65688747,2.6077526,0.12803417,282.00604,270.85345,258.74475,237.54013,220.27298
1.0414964,1.390272,0.06666331,270.24414,261.03018,269.0593,257.69476,244.10742
1.575786,2.2062984,0.20839556,274.7211,266.04657,236.44678,212.04639,190.13132
-0.19042252,2.68944,0.14197896,295.74512,279.95422,258.57379,235.06926,218.08147
0.98039544,1.7286166,0.12767798,275.50861,260.04041,247.89319,227.37009,212.12105
0.82302493,3.9007995,0.13084783,231.36778,192.33246,207.62485,190.72375,168.06453
0.096129656,1.3925282,0.10527019,269.75528,257.37207,248.52174,232.82477,217.88158
1.0936785,4.3595672,0.1736057,263.65759,234.65985,220.68478,201.35376,189.56297
1.0486614,3.5001276,0.13221453,237.39081,195.9617,192.53957,188.97054,177.02562
-0.27697906,1.5620373,0.11043941,274.81259,262.33786,252.1004,236.35768,221.25072
0.65261066,1.2265774,0.10877279,273.16296,258.056,250.30144,235.18727,219.94304
3.456785,29.412258,0.065963037,176.32001,182.1263,217.01942,250.71326,208.95901
1.5019633,11.693678,0.14355344,237.13313,203.29723,208.17633,199.72096,176.38503
0.10286887,1.350268,0.11756893,275.68198,259.12045,247.7222,230.88612,216.48721
1.3297648,2.5039625,0.23222797,336.26633,284.3252,249.87518,221.23628,211.65866
0.10331696,1.7608061,0.19117682,311.58417,293.64752,270.83658,237.80502,212.18607
-0.45070153,1.9524184,0.12413737,282.61533,266.58121,257.37927,237.88451,220.03697
-1.0278519,1.3451332,0.12275503,277.57245,261.63467,250.51578,231.95779,216.47275
